date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,12.6,10.5,14,,,220,15.8,,1016.6,
2021-01-02,10.9,6,16,,,77,6.8,,1022.9,
2021-01-03,10.8,6,14,,,54,4.9,,1021.7,
2021-01-04,13.1,10,16,,,96,10.2,,1017,
2021-01-05,13.3,11,15,,,219,16.1,,1014.4,
2021-01-06,11.3,7,14,,,178,6.9,,1021.6,
2021-01-07,12.7,10.5,15,,,203,16.6,,1018.5,
2021-01-08,14.2,11.5,17,,,216,16,,1014.3,
2021-01-09,11.6,9,15.2,,,339,20.1,,1014.8,
2021-01-10,8.8,8,10,,,52,18.5,,1018.5,
2021-01-11,13.1,9,19.5,,,337,8.2,,1014.6,
2021-01-12,13.1,9,17,,,355,13.4,,1009.8,
2021-01-13,7.3,5.7,11.6,,,6,20.3,,1006.8,
2021-01-14,5,4,6,,,321,14.5,,1009.7,
2021-01-15,3.6,1,6.6,,,343,13,,1013.7,
2021-01-16,2.7,0,6,,,49,13.4,,1011.9,
2021-01-17,0.1,-2,2,,,358,27.7,,1013.4,
2021-01-18,-1.7,-4,2,,,352,10.8,,1021.3,
2021-01-19,-1.4,-5,3,,,5,8.3,,1024.7,
2021-01-20,1.9,-5,6.2,,,248,17.1,,1027,
2021-01-21,8.5,6.6,10,,,207,26.7,,1027.1,
2021-01-22,11.4,9.8,13.2,,,207,19.7,,1023.7,
2021-01-23,11.9,11,13.5,,,213,17.8,,1018.1,
2021-01-24,11.9,10,13.2,,,198,16.9,,1011.3,
2021-01-25,11.8,10,13,,,210,23.5,,1007.5,
2021-01-26,12.4,10,14,,,219,17.9,,1007.1,
2021-01-27,5.1,2,14,,,351,29.8,,1001.6,
2021-01-28,2.8,1,5,,,300,13.7,,1012.1,
2021-01-29,6.2,1,9,,,218,27.2,,1012,
2021-01-30,9.1,7.2,11,,,189,20.6,,1002.3,
2021-01-31,10.4,8,13.2,,,191,14.1,,1009.1,
2021-02-01,13.3,9,16.2,,,191,15.3,,1007.6,
2021-02-02,12.6,10,15,,,192,13.7,,1014.1,
2021-02-03,11.8,9,15,,,245,6.3,,1017.4,
2021-02-04,11.1,7,14,,,250,9.3,,1016.5,
2021-02-05,11.4,7.1,16,,,246,6.5,,1020.2,
2021-02-06,9.7,7,13,,,242,9.3,,1017,
2021-02-07,11.4,7,16,,,189,4.6,,1014.9,
2021-02-08,16.1,13,21,,,241,17.4,,1008.8,
2021-02-09,14.3,13,16,,,226,24.1,,1011.5,
2021-02-10,13.1,11,15.2,,,222,16.6,,1012.7,
2021-02-11,14.3,12,17.1,,,213,21.4,,1010.1,
2021-02-12,4.9,1.9,12,,,28,18.3,,1017.1,
2021-02-13,1.2,-1,3,,,33,22.4,,1027.1,
2021-02-14,0.1,-1.2,1,,,42,27.8,,1023.5,
2021-02-15,1.1,0,2.5,,,27,27.2,,1024.5,
2021-02-16,0.5,-1,2,,,19,31.1,,1022.8,
2021-02-17,0.4,-1.4,3,,,354,19.6,,1021.7,
2021-02-18,3.8,-0.2,5,,,252,18.6,,1020.2,
2021-02-19,3.6,2,4.1,,,30,13.6,,1029.2,
2021-02-20,3.4,-1.1,7,,,77,11.1,,1029.2,
2021-02-21,5.5,2,9.3,,,62,14,,1031.2,
2021-02-22,5.2,-1,10,,,43,7.5,,1031.5,
2021-02-23,6.3,1,12,,,338,5,,1031.3,
2021-02-24,6.9,5,8.2,,,21,16.5,,1033.3,
2021-02-25,8.1,6.5,11,,,42,20.1,,1034.1,
2021-02-26,8.7,3,14.2,,,52,10.2,,1028.8,
2021-02-27,7.6,2,12.1,,,307,6.3,,1020.7,
2021-02-28,8,3,10.5,,,28,24.1,,1027,
2021-03-01,5.5,1,9.5,,,334,10.7,,1027.8,
2021-03-02,5.8,5,7,,,25,20.4,,1029.9,
2021-03-03,5.7,0,10,,,17,12.3,,1029.7,
2021-03-04,5.2,0,9,,,202,7,,1024.8,
2021-03-05,10.3,3.5,15.5,,,233,11.2,,1018,
2021-03-06,9.5,5,13,,,311,14.7,,1021.4,
2021-03-07,5.6,4,7,,,50,22.1,,1026.6,
2021-03-08,4.9,-1,9,,,182,8.3,,1019.3,
2021-03-09,7.7,2,13,,,37,9.9,,1018.3,
2021-03-10,9.4,6.5,13.5,,,48,18.9,,1013.7,
2021-03-11,6.6,5,8.5,,,36,27.4,,1014.9,
2021-03-12,5.5,1,8,,,281,8.3,,1022.1,
2021-03-13,8.4,2.7,12,,,220,9,,1018,
2021-03-14,9.8,5,15,,,350,3.5,,1014.4,
2021-03-15,12,7,17.5,,,130,8,,1004.5,
2021-03-16,10,8,12.2,,,228,26.7,,1000,
2021-03-17,7.1,5.5,9,,,283,16.2,,1003.7,
2021-03-18,7.1,5,9.2,,,272,10.8,,1011.7,
2021-03-19,8,6,10,,,285,11.1,,1015,
2021-03-20,8.2,6,12,,,60,16.3,,1018,
2021-03-21,6.7,6,7.1,,,63,25.1,,1013.4,
2021-03-22,8.2,6,12.1,,,33,18.3,,1002.2,
2021-03-23,5.9,5,7,,,20,28.7,,1008.2,
2021-03-24,4,1.7,6,,,15,18.9,,1011.8,
2021-03-25,3.8,0.7,7,,,350,17.8,,1018.4,
2021-03-26,5.9,2,8.5,,,274,12.2,,1024,
2021-03-27,8.7,6,12,,,235,12.1,,1028.3,
2021-03-28,8.8,3,14,,,252,5.1,,1029.3,
2021-03-29,10.4,8.7,13,,,44,14,,1030.3,
2021-03-30,7.1,4,9,,,18,17.6,,1026.8,
2021-03-31,8.2,7,10,,,51,29.3,,1023.5,
2021-04-01,7.8,5,11,,,33,18,,1019.5,
2021-04-02,8.7,3,12.5,,,257,8.8,,1016,
2021-04-03,14,10.8,19.2,,,241,12.3,,1013.6,
2021-04-04,11.7,9,14,,,320,20.2,,1013.1,
2021-04-05,8,7,9.1,,,40,16,,1014.8,
2021-04-06,12.6,8,21.2,,,103,5.3,,1007.9,
2021-04-07,14.1,9.8,19.2,,,274,19.9,,1006.6,
2021-04-08,6.6,4.5,9.5,,,33,27.5,,1017.2,
2021-04-09,7,3.5,11,,,51,16,,1026.4,
2021-04-10,7.2,1,12,,,17,14.7,,1026.7,
2021-04-11,7.9,2,13,,,17,11.1,,1025.7,
2021-04-12,10.2,8,13,,,239,9.9,,1023.6,
2021-04-13,12.3,5.7,17,,,135,6.6,,1019.1,
2021-04-14,14.7,11,19,,,282,11.9,,1014.6,
2021-04-15,12,9,16.2,,,39,18.3,,1016.8,
2021-04-16,11.3,9,14.2,,,51,17,,1019.1,
2021-04-17,11.4,10,14.5,,,55,26.1,,1016.5,
2021-04-18,11.3,10,14,,,23,15.4,,1014.5,
2021-04-19,11.4,10,14,,,45,16,,1013.3,
2021-04-20,12.5,10.6,16,,,244,14.7,,1012.5,
2021-04-21,12.5,8.6,16,,,257,8.3,,1018.4,
2021-04-22,13.3,10,17.7,,,226,8.8,,1022.2,
2021-04-23,14.7,11,17,,,236,6.7,,1020.1,
2021-04-24,14.1,12,18,,,38,14.4,,1020.5,
2021-04-25,11.3,10,13,,,53,25.3,,1017.1,
2021-04-26,12.3,9,17,,,35,14.8,,1017.7,
2021-04-27,13.1,8,19,,,265,5.3,,1014.4,
2021-04-28,15.4,10.6,20.5,,,9,12.7,,1013.4,
2021-04-29,15.3,10.9,22,,,18,14.1,,1014.6,
2021-04-30,16.6,11,21,,,274,7.9,,1016.1,
2021-05-01,19.7,14,25,,,268,5.4,,1015,
2021-05-02,22,18,29,,,261,9.5,,1011,
2021-05-03,21.2,17.5,25,,,264,10.7,,1011.6,
2021-05-04,19.6,16,24,,,36,21.7,,1016.2,
2021-05-05,17.6,14,22,,,20,10,,1012.1,
2021-05-06,17,14,20.2,,,267,7.3,,1012.8,
2021-05-07,20,14.5,24.5,,,160,6.3,,1014.2,
2021-05-08,18,15,23,,,5,14.3,,1014,
2021-05-09,14.8,12,18.1,,,58,24.3,,1024.4,
2021-05-10,14,10.6,18,,,62,24.4,,1023.1,
2021-05-11,14.8,11,19,,,62,22.2,,1018,
2021-05-12,15.7,11,20.7,,,57,13.6,,1011.1,
2021-05-13,17.1,11,22,,,243,8.2,,1008.2,
2021-05-14,19.4,15,26,,,234,9.7,,1011.4,
2021-05-15,19.4,13.7,24,,,225,8.2,,1012,
2021-05-16,19,16,23,,,312,11.3,,1008.2,
2021-05-17,18.2,15,22,,,212,10.2,,1009.2,
2021-05-18,18.7,15,23,,,263,10.1,,1009.4,
2021-05-19,20.4,14.7,27,,,184,8.5,,1013,
2021-05-20,21.2,17.5,25.2,,,7,15.9,,1006.9,
2021-05-21,15.6,13,17.5,,,31,28.4,,1010.8,
2021-05-22,15.8,12.9,19,,,277,12.8,,1018.8,
2021-05-23,17.7,12.4,23,,,195,6.1,,1018.9,
2021-05-24,19.8,14.9,27,,,124,10.7,,1019.9,
2021-05-25,20.9,17.8,26,,,55,20.2,,1020,
2021-05-26,19.5,16,25,,,52,24.2,,1015.3,
2021-05-27,18.5,16.7,21,,,47,24.3,,1011.7,
2021-05-28,18.8,16.8,21,,,39,14.4,,1010.2,
2021-05-29,17.7,16.3,19,,,268,10,,1013.9,
2021-05-30,19.3,13.7,26,,,66,11,,1014.4,
2021-05-31,18.8,17,20.5,,,52,16,,1011.5,
2021-06-01,16.7,14,19,,,314,15.5,,1010.2,
2021-06-02,15,12.6,17,,,324,14.6,,1017.2,
2021-06-03,16.9,14,19,,,239,13.9,,1020.3,
2021-06-04,17.7,14,21,,,244,9,,1022.5,
2021-06-05,17.6,11.8,21,,,257,9,,1021,
2021-06-06,19.5,15,24,,,147,7,,1017.4,
2021-06-07,20.6,17.8,25,,,139,7.9,,1016.2,
2021-06-08,21.2,18.1,24.5,,,81,10.3,,1014.6,
2021-06-09,22,17,27,,,64,13.3,,1012.5,
2021-06-10,22.1,18.5,27.6,,,47,15.4,,1011.4,
2021-06-11,22.5,18,27.1,,,48,14.5,,1012.5,
2021-06-12,22.4,19,26.2,,,48,13.8,,1013.5,
2021-06-13,21.3,17.7,24,,,286,11.9,,1012.5,
2021-06-14,18.7,16,20,,,18,18.5,,1012.1,
2021-06-15,17.6,14,20.1,,,255,8.6,,1012.3,
2021-06-16,17.9,15.9,22,,,294,21.2,,1010.2,
2021-06-17,19.8,16,22.5,,,252,8.5,,1016.2,
2021-06-18,20.3,17.9,23,,,245,9.5,,1014.6,
2021-06-19,20.8,18,23.7,,,234,9.1,,1011.9,
2021-06-20,22,18.9,26,,,34,11.4,,1011.2,
2021-06-21,22.2,18.6,26,,,53,11.4,,1011.8,
2021-06-22,22.9,18.5,26,,,247,7.3,,1012.8,
2021-06-23,23.2,21,27,,,131,7.1,,1014.3,
2021-06-24,23.3,19,27,,,258,8.4,,1016.2,
2021-06-25,24.6,21.9,28,,,223,8.9,,1013.7,
2021-06-26,25.6,22,28,,,298,10.6,,1012.3,
2021-06-27,26.2,22.8,30.7,,,349,10.8,,1013,
2021-06-28,26.3,23,31,,,67,14.6,,1015.8,
2021-06-29,26.5,23,31,,,66,15.4,,1015.6,
2021-06-30,26.6,21.3,33,,,58,13.2,,1013.9,
2021-07-01,27.4,21,33,,,162,6.7,,1010,
2021-07-02,26.9,25,29,,,33,21.3,,1007.2,
2021-07-03,25,23,27.7,,,18,16.9,,1008.5,
2021-07-04,23.6,20,26,,,263,12.2,,1009.9,
2021-07-05,25.5,23,29,,,223,13,,1008.4,
2021-07-06,22.8,21,24.7,,,339,14.3,,1008.9,
2021-07-07,24.2,20.8,28,,,349,13.8,,1013.5,
2021-07-08,24.6,22,28,,,23,20,,1017,
2021-07-09,26.1,23,31,,,38,23.7,,1016.4,
2021-07-10,26.1,22.3,31,,,34,24.8,,1013.2,
2021-07-11,26.6,23,31.2,,,43,16.3,,1011.3,
2021-07-12,26.4,23,30,,,31,15.9,,1012.1,
2021-07-13,27.3,23,32.7,,,55,14.9,,1012.9,
2021-07-14,26.2,24,30,,,45,16.1,,1013,
2021-07-15,28,24,32.2,,,49,20.2,,1011.7,
2021-07-16,28.2,24,33,,,56,23.7,,1008.8,
2021-07-17,27.8,24.8,32,,,46,15.5,,1005,
2021-07-18,28.2,25,32,,,50,20.7,,1003.9,
2021-07-19,27.6,26,30,,,307,11.7,,1006,
2021-07-20,27.1,25,30,,,249,10.3,,1008.5,
2021-07-21,27.7,25,31,,,55,15,,1010.8,
2021-07-22,25,22.9,27.2,,,18,21.2,,1014.1,
2021-07-23,25.1,21,28,,,35,18.5,,1013.4,
2021-07-24,24.6,22,27.1,,,42,23,,1012.8,
2021-07-25,25.5,23,29,,,40,24,,1014.5,
2021-07-26,26.3,22.2,30,,,34,19.2,,1017.1,
2021-07-27,26.7,21.9,32,,,33,12.8,,1018.5,
2021-07-28,28.6,24,34.2,,,63,16.1,,1016.3,
2021-07-29,29.2,24.5,34.7,,,84,13.2,,1013.3,
2021-07-30,29.3,23.6,35.5,,,98,9.1,,1010.7,
2021-07-31,29.9,24,35.2,,,85,8.9,,1009.2,
2021-08-01,29.9,25.1,34,,,64,13.7,,1011,
2021-08-02,29.2,22.8,35.2,,,164,6.8,,1010.8,
2021-08-03,29.2,24,34,,,43,15.4,,1011.8,
2021-08-04,28.7,24,35,,,70,11.5,,1014.1,
2021-08-05,29.4,24,34,,,131,9.7,,1011,
2021-08-06,29.4,26,33.6,,,62,14.4,,1002.4,
2021-08-07,26.7,24,29,,,4,26.7,,1008.2,
2021-08-08,26.1,21.8,30.2,,,24,15.8,,1015.1,
2021-08-09,25.1,20.5,29,,,152,9.2,,1017,
2021-08-10,26,20.9,29.1,,,184,7.5,,1015.8,
2021-08-11,26.6,23,30.5,,,24,10.3,,1013.8,
2021-08-12,27,22.8,32,,,36,16.4,,1016.2,
2021-08-13,26.7,24,30,,,52,21.9,,1020,
2021-08-14,25.8,23,29,,,49,23.3,,1019.5,
2021-08-15,25.6,22.9,29,,,62,19.3,,1016.7,
2021-08-16,25.5,19.8,30,,,58,17.4,,1014.9,
2021-08-17,26.5,23,31.2,,,63,17.4,,1011.4,
2021-08-18,27,23.7,31,,,57,15.9,,1009.3,
2021-08-19,25.5,23,29,,,31,22.4,,1011.7,
2021-08-20,24.6,22,27.6,,,44,21.4,,1015,
2021-08-21,24.7,21,28,,,62,21,,1015.6,
2021-08-22,25.5,23,28,,,45,24.4,,1015.3,
2021-08-23,26.1,24,29,,,59,27.3,,1014.9,
2021-08-24,26,22.9,30,,,58,22.7,,1013.1,
2021-08-25,26.2,23,31,,,48,16,,1011.7,
2021-08-26,25.6,21.3,29,,,143,7.5,,1010.9,
2021-08-27,27.3,24,32,,,177,7.1,,1009.7,
2021-08-28,28,23.8,33,,,46,17.3,,1009,
2021-08-29,26.8,24.5,29,,,49,12.6,,1005.9,
2021-08-30,25.6,23,28.2,,,35,16.7,,1009.4,
2021-08-31,26.1,24,29,,,43,20.2,,1013.5,
2021-09-01,25.2,20,29.2,,,39,15.9,,1013.3,
2021-09-02,22.9,20,26,,,18,16.8,,1016.6,
2021-09-03,20.9,18,24,,,52,19.2,,1019.7,
2021-09-04,21.3,15.9,26,,,44,17.3,,1016.1,
2021-09-05,22.7,18,26.5,,,44,24.3,,1015.6,
2021-09-06,22.8,20,26,,,60,35.2,,1018.7,
2021-09-07,21.1,19,23.2,,,71,31.7,,1021.3,
2021-09-08,21.3,18.9,25.2,,,70,30.7,,1019.9,
2021-09-09,21.7,19.6,25,,,67,24.5,,1016.6,
2021-09-10,20.6,18,23,,,45,13.7,,1016,
2021-09-11,19.9,15.6,23.5,,,335,8.4,,1015.9,
2021-09-12,20.5,14.4,25.5,,,54,10.3,,1013.3,
2021-09-13,21.7,16.8,26,,,55,14.6,,1012.2,
2021-09-14,22.1,17,26.1,,,39,15.3,,1014.2,
2021-09-15,22.3,19,25.7,,,21,13.8,,1015.7,
2021-09-16,22.7,19,27,,,15,10.5,,1017.2,
2021-09-17,22.3,17,27,,,142,7.5,,1015.7,
2021-09-18,24.3,21,29,,,225,10.3,,1010.8,
2021-09-19,23.1,19,27,,,193,6.8,,1013.3,
2021-09-20,24.6,20,29,,,216,6.2,,1012.2,
2021-09-21,21.1,18,23.2,,,20,25.3,,1018.3,
2021-09-22,18.4,16,20.1,,,45,15.1,,1017.9,
2021-09-23,14.7,12.8,17.5,,,358,19.4,,1016.8,
2021-09-24,16.8,13,20,,,278,12.1,,1018,
2021-09-25,20.3,18.4,22.5,,,233,16.5,,1019.9,
2021-09-26,20.5,14.6,26.2,,,50,12.5,,1021.4,
2021-09-27,20.7,17,24.2,,,54,18.8,,1018.1,
2021-09-28,19.5,17,22.5,,,34,19.2,,1018.1,
2021-09-29,18.7,17,22,,,39,25.1,,1020.2,
2021-09-30,18,15.9,21,,,54,22.2,,1022,
2021-10-01,15.9,14,20,,,51,21.3,,1022.6,
2021-10-02,15.6,14,17,,,46,14.3,,1021.1,
2021-10-03,16.7,11,21,,,34,13.1,,1022.5,
2021-10-04,17.6,14,21,,,42,17,,1023.2,
2021-10-05,17.2,15,20,,,38,18.8,,1023.3,
2021-10-06,16.3,13,18,,,32,16,,1022.8,
2021-10-07,17.1,14.6,20.5,,,53,21.3,,1020.5,
2021-10-08,17.5,13.1,21,,,53,22.8,,1019.2,
2021-10-09,17.1,15.7,18,,,41,20,,1019.2,
2021-10-10,16.4,15.7,17,,,40,26.2,,1021.6,
2021-10-11,18.5,16.6,23,,,60,16.1,,1017,
2021-10-12,17.5,15,22,,,98,11,,1008.4,
2021-10-13,14.7,12.5,17,,,346,15.9,,1012.8,
2021-10-14,17,14,21.2,,,67,18.4,,1017.4,
2021-10-15,18.3,16,22,,,40,15.5,,1015.1,
2021-10-16,18.6,16,22,,,201,10.6,,1012.5,
2021-10-17,14.7,14,16.6,,,7,17.4,,1017.7,
2021-10-18,14.8,13,16,,,24,17.5,,1022.4,
2021-10-19,14.9,11.2,18,,,39,15.1,,1026.6,
2021-10-20,14,9,17.7,,,48,14.2,,1027.7,
2021-10-21,13.6,8,17.2,,,283,8,,1022.6,
2021-10-22,17,15,19,,,233,12.8,,1020.2,
2021-10-23,15.8,12,19,,,224,7.4,,1020.9,
2021-10-24,13.3,12,15,,,20,18.9,,1025.3,
2021-10-25,13.1,11,15,,,51,25.6,,1029.3,
2021-10-26,13.4,10.8,16.2,,,65,19.7,,1024.9,
2021-10-27,13.9,12,16,,,37,17.8,,1023.8,
2021-10-28,14.4,13,16,,,42,23.5,,1025.2,
2021-10-29,13.9,12,16.2,,,55,22.9,,1023.3,
2021-10-30,15.2,13.8,18,,,55,25.5,,1021.8,
2021-10-31,14.8,12,18,,,47,15,,1019.8,
2021-11-01,14.5,13.6,16,,,27,9.6,,1015.2,
2021-11-02,15.1,13.6,17,,,166,6.7,,1012,
2021-11-03,17.2,15,21,,,235,7,,1016.3,
2021-11-04,17.3,14,22.2,,,215,6,,1020.9,
2021-11-05,15.2,12,19,,,215,5.4,,1021.1,
2021-11-06,14.4,13,17,,,232,11.5,,1023.2,
2021-11-07,15.3,14.6,16.7,,,48,16.1,,1023.3,
2021-11-08,15,12,18,,,266,5.8,,1017.1,
2021-11-09,15.1,11,17,,,328,11.1,,1022.6,
2021-11-10,11.1,9.7,12.8,,,39,25.9,,1034.1,
2021-11-11,11.2,9.7,14,,,71,24.5,,1029.2,
2021-11-12,11.8,9,15.7,,,50,17.5,,1022.6,
2021-11-13,10.8,5,15,,,56,9.7,,1022.2,
2021-11-14,11.4,6,17,,,33,8.7,,1021.6,
2021-11-15,13.3,11,16,,,42,17.9,,1023.2,
2021-11-16,13.1,12,14.2,,,60,27.9,,1024.4,
2021-11-17,11.3,10.9,12.1,,,46,21.6,,1022.5,
2021-11-18,11.5,10.8,12.2,,,27,11.3,,1023.7,
2021-11-19,10.2,9,12,,,6,13.7,,1022.7,
2021-11-20,9.2,4.3,13,,,326,4.6,,1019.6,
2021-11-21,10.2,6,16,,,42,7.1,,1017.9,
2021-11-22,13.4,7,16,,,234,13.8,,1017.2,
2021-11-23,13.9,12,15.5,,,279,15.4,,1018.1,
2021-11-24,11.3,10,12,,,46,28.6,,1023,
2021-11-25,10.8,9.6,12.2,,,57,21.4,,1021.1,
2021-11-26,11.2,6,15,,,99,6.5,,1013.5,
2021-11-27,15.7,13,17.2,,,222,15.4,,1009,
2021-11-28,15.8,13,18,,,224,16.7,,1007.4,
2021-11-29,17.5,14,21,,,230,30.8,,1002.3,
2021-11-30,11.8,6,16,,,256,25.2,,1005.1,
2021-12-01,8.8,5,12,,,273,22.7,,1014.6,
2021-12-02,12.4,10,15,,,212,21.7,,1014.9,
2021-12-03,15.1,13.4,17.5,,,220,21.7,,1013.4,
2021-12-04,13.3,9.6,15,,,151,14.9,,1011.1,
2021-12-05,11.6,10,14.7,,,99,8,,1011.8,
2021-12-06,14.8,11,18,,,172,9.7,,1011.5,
2021-12-07,14.3,11.7,18,,,100,8,,1003.8,
2021-12-08,10.6,8.7,13,,,352,13.2,,1006.5,
2021-12-09,12,8.7,15,,,228,14.2,,1016.1,
2021-12-10,14.5,11,18,,,186,18.3,,1013.6,
2021-12-11,14.5,11.5,17,,,152,15,,1014.1,
2021-12-12,13.8,11.7,17,,,182,13.5,,1013.7,
2021-12-13,11.2,9,13,,,72,18,,1016.1,
2021-12-14,10.7,9,13,,,37,26.8,,1015.8,
2021-12-15,6.2,4.9,8.5,,,1,29.1,,1019.8,
2021-12-16,4.8,3.9,6,,,334,21.7,,1022.3,
2021-12-17,4.8,3.9,6,,,318,15,,1020.1,
2021-12-18,5.9,5,7,,,17,22.6,,1017.9,
2021-12-19,5.2,0,8,,,21,25.6,,1015.6,
2021-12-20,5.8,0,8,,,279,17.7,,1011.3,
2021-12-21,3.9,0.1,7,,,315,15.2,,1020.3,
2021-12-22,2.6,-1,5,,,43,11.3,,1027.3,
2021-12-23,1.8,-2,5,,,15,11.2,,1027.3,
2021-12-24,4.9,-1.5,9,,,225,23.7,,1020.5,
2021-12-25,10,8,12.2,,,215,31.4,,1017.7,
2021-12-26,12,10.7,14,,,219,24,,1016.4,
2021-12-27,13.4,11.8,15.2,,,225,16.2,,1016.6,
2021-12-28,13.6,12.6,15,,,224,14.9,,1012.8,
2021-12-29,11.8,10,13.2,,,77,11,,1010.1,
2021-12-30,12.2,9.7,14.2,,,48,21.8,,1010.9,
2021-12-31,9,8,10,,,44,15.6,,1021.7,
2022-01-01,8.9,6.9,10.2,,,259,11.5,,1019.7,
2022-01-02,10,8,12.2,,,6,6.7,,1023.9,
2022-01-03,10,7.4,12,,,220,15.2,,1018.5,
2022-01-04,11,9,13,,,246,10.1,,1015.8,
2022-01-05,12.8,10.9,15,,,231,16.6,,1012.9,
2022-01-06,13.8,12,16,,,243,17.2,,1013.2,
2022-01-07,10.3,8,12.3,,,39,17.9,,1017.9,
2022-01-08,10.2,9,12,,,26,12.9,,1015,
2022-01-09,10.1,8,14,,,37,7.2,,1006.9,
2022-01-10,10.5,9.5,12,,,29,16.4,,1002.7,
2022-01-11,9.1,7,10.1,,,45,34.6,,1010,
2022-01-12,3.3,1,6.2,,,25,37.5,,1021.3,
2022-01-13,1.8,1,2.2,,,33,27.9,,1030.9,
2022-01-14,2.4,-1.7,5,,,297,16.2,,1024.3,
2022-01-15,5.1,1,8.7,,,344,15.1,,1019.7,
2022-01-16,3.1,-2,7,,,355,13,,1026.5,
2022-01-17,5.8,-1,9.2,,,215,22.7,,1021.4,
2022-01-18,5.8,2,9,,,329,22.3,,1021,
2022-01-19,1.2,-2,3,,,337,18.7,,1029.5,
